,RefDate,Symbol,OpeningPrice,ClosingPrice,MinPrice,MaxPrice,AvgPrice,VWAP,Trades,Shares,PctRange
0,2015-08-03,DAVE,17.93,17.64,17.23,17.9994,17.47060585106381,17.478404007080787,223,26272,0.04361678004535153
1,2015-08-03,AAPL,121.5,118.44,117.52,122.57,119.39726160183793,119.43109292609056,389307,69985855,0.04263762242485644
2,2015-08-03,AMZN,537.9,535.03,529.36,540.44,535.014658830239,534.9134135600632,35807,3014457,0.020709119114816068
3,2015-08-03,MSFT,46.95,46.81,46.45,47.0,46.70220840184627,46.71172901691868,124109,24126587,0.011749626148258857
